"Story","Title","Result","Date","Stability","Duration (s)"
"Some feature","About Us Close button functionality","SUCCESS","2019-01-09T16:50:09.900+02:00","0.0","5.36"
"Some feature","About Us X button functionality","SUCCESS","2019-01-09T16:50:09.787+02:00","0.0","5.49"
"Some feature","About Us button functionality","SUCCESS","2019-01-09T16:50:09.902+02:00","0.0","5.16"
"Some feature","Contact - Cancel button functionalityZ","SUCCESS","2019-01-09T16:52:03.068+02:00","0.0","7.28"
"Some feature","Contact Elements","SUCCESS","2019-01-09T16:52:03.070+02:00","0.0","4.33"
"Some feature","Contact Form","SUCCESS","2019-01-09T16:52:03.068+02:00","0.0","27.21"
"Some feature","Contact form empty fields","SUCCESS","2019-01-09T16:52:03.071+02:00","0.0","6.82"
"Some feature","Contact form invalid credentials","SUCCESS","2019-01-09T16:52:03.069+02:00","0.0","25.25"
"Some feature","Contact functionality","SUCCESS","2019-01-09T16:52:03.072+02:00","0.0","4.09"
"Some feature","Elements are displayed on the first page","SUCCESS","2019-01-09T16:52:12.297+02:00","0.0","1.52"
"Some feature","Empty field for password","SUCCESS","2019-01-09T16:54:34.432+02:00","0.0","12.9"
"Some feature","Empty field for username","SUCCESS","2019-01-09T16:54:34.430+02:00","0.0","12.91"
"Some feature","Empty field for username and valid credentials for password","SUCCESS","2019-01-09T16:57:37.838+02:00","0.0","9.53"
"Some feature","Empty field for username and valid credentials for password","SUCCESS","2019-01-09T16:57:37.839+02:00","0.0","13.65"
"Some feature","Empty fields login","SUCCESS","2019-01-09T16:52:22.641+02:00","0.0","5.09"
"Some feature","Empty fields login","SUCCESS","2019-01-09T16:54:34.434+02:00","0.0","6.74"
"Some feature","Invalid credentials (invalid username and password credentials)","SUCCESS","2019-01-09T16:54:34.431+02:00","0.0","16.23"
"Some feature","Invalid credentials (lowercase credentials for password","SUCCESS","2019-01-09T16:57:37.827+02:00","0.0","13.57"
"Some feature","Invalid credentials (select space to put blank space for username and password )","SUCCESS","2019-01-09T16:57:37.840+02:00","0.0","13.52"
"Some feature","Invalid credentials (special characters for username and password","SUCCESS","2019-01-09T16:57:37.824+02:00","0.0","13.57"
"Some feature","Invalid credentials (uppercase credentials for password","SUCCESS","2019-01-09T16:57:37.827+02:00","0.0","13.69"
"Some feature","Invalid credentials (valid username and password and a blank space)","SUCCESS","2019-01-09T16:57:37.826+02:00","0.0","13.73"
"Some feature","Invalid credentials (valid username and password with a space afterwards)","SUCCESS","2019-01-09T16:54:34.432+02:00","0.0","18.93"
"Some feature","Login button functionality and elements are present","SUCCESS","2019-01-09T16:54:34.433+02:00","0.0","4.29"
"Some feature","Sign Up functionality","SUCCESS","2019-01-09T16:57:37.834+02:00","0.0","15.51"
"Some feature","Sign up empty fields","SUCCESS","2019-01-09T16:57:37.836+02:00","0.0","5.29"
"Some feature","Sign up username with valid credentials and empty password field","SUCCESS","2019-01-09T16:57:37.830+02:00","0.0","9.53"
"Some feature","Succesfull login","SUCCESS","2019-01-09T16:54:34.431+02:00","0.0","22.72"
"Some feature","Successful order placement","ERROR","2018-12-29T19:29:05.849+02:00","0.0","45.94"
"Some feature","Username and Password text is present","SUCCESS","2019-01-09T16:57:37.832+02:00","0.0","3.01"
